Sample 113: No. iterations = 512, Error = 0.00341456
Sample 114: No. iterations = 512, Error = 0.00221922
Sample 115: No. iterations = 512, Error = 0.0030306
Sample 116: No. iterations = 512, Error = 0.00380533
Sample 117: No. iterations = 512, Error = 0.0042039
Sample 118: No. iterations = 512, Error = 0.00494179
Sample 119: No. iterations = 512, Error = 0.0039033
Sample 120: No. iterations = 512, Error = 0.0020229
Sample 121: No. iterations = 512, Error = 0.00341456
Sample 122: No. iterations = 512, Error = 0.00211494
Sample 123: No. iterations = 512, Error = 0.00434187
Sample 124: No. iterations = 512, Error = 0.00405039
Sample 125: No. iterations = 512, Error = 0.00342276
Sample 126: No. iterations = 512, Error = 0.00512005
Sample 127: No. iterations = 512, Error = 0.00283961
Sample 128: No. iterations = 512, Error = 0.00613852
Sample 129: No. iterations = 512, Error = 0.00389894
Sample 130: No. iterations = 512, Error = 0.00339147
Sample 131: No. iterations = 512, Error = 0.00308599
Sample 132: No. iterations = 512, Error = 0.00420453
Sample 133: No. iterations = 512, Error = 0.498951
Sample 134: No. iterations = 512, Error = 0.00408489
Sample 135: No. iterations = 512, Error = 0.502358
Sample 136: No. iterations = 512, Error = 0.00313805
Sample 137: No. iterations = 512, Error = 0.00192664
Sample 138: No. iterations = 512, Error = 0.00394301
Sample 139: No. iterations = 512, Error = 0.500884
Sample 140: No. iterations = 512, Error = 0.00416772
Sample 141: No. iterations = 512, Error = 0.0079877
Sample 142: No. iterations = 512, Error = 0.00223826
Sample 143: No. iterations = 512, Error = 0.00556883
Sample 144: No. iterations = 512, Error = 0.0047548
Sample 145: No. iterations = 512, Error = 0.00459384
Sample 146: No. iterations = 512, Error = 0.00451107
Sample 147: No. iterations = 512, Error = 0.00267953
Sample 148: No. iterations = 512, Error = 0.00360036
Sample 149: No. iterations = 512, Error = 0.00479694
Sample 150: No. iterations = 512, Error = 0.00377914
Sample 151: No. iterations = 512, Error = 0.00508613
Sample 152: No. iterations = 512, Error = 0.00228501
Sample 153: No. iterations = 512, Error = 0.00326187
Sample 154: No. iterations = 512, Error = 0.00423433
Sample 155: No. iterations = 512, Error = 0.00435679
Sample 156: No. iterations = 512, Error = 0.00208612
Sample 157: No. iterations = 512, Error = 0.00226458
Sample 158: No. iterations = 512, Error = 0.00310367
Sample 159: No. iterations = 512, Error = 0.00477965
Sample 160: No. iterations = 512, Error = 0.00385701
Sample 161: No. iterations = 512, Error = 0.00563333
Sample 162: No. iterations = 512, Error = 0.00345177
Sample 163: No. iterations = 512, Error = 0.00451519
Sample 164: No. iterations = 512, Error = 0.0045786
Sample 165: No. iterations = 512, Error = 0.00363518
Sample 166: No. iterations = 512, Error = 0.00148854
Sample 167: No. iterations = 512, Error = 0.004136
Sample 168: No. iterations = 512, Error = 0.00313846
Sample 169: No. iterations = 512, Error = 0.00597278
Sample 170: No. iterations = 512, Error = 0.0025299
Sample 171: No. iterations = 512, Error = 0.00324272
Sample 172: No. iterations = 512, Error = 0.00247665
Sample 173: No. iterations = 512, Error = 0.00293228
Sample 174: No. iterations = 512, Error = 0.0049642
Sample 175: No. iterations = 512, Error = 0.00357121
Sample 176: No. iterations = 512, Error = 0.00275154
Sample 177: No. iterations = 512, Error = 0.00217044
Sample 178: No. iterations = 512, Error = 0.00344252
Sample 179: No. iterations = 512, Error = 0.00476316
Sample 180: No. iterations = 512, Error = 0.0033362
Sample 181: No. iterations = 512, Error = 0.00445232
Sample 182: No. iterations = 512, Error = 0.00324058
Sample 183: No. iterations = 512, Error = 0.410932
Sample 184: No. iterations = 512, Error = 0.00185401
Sample 185: No. iterations = 512, Error = 0.00307001
Sample 186: No. iterations = 512, Error = 0.00254292
Sample 187: No. iterations = 512, Error = 0.0027796
Sample 188: No. iterations = 512, Error = 0.00329481
Sample 189: No. iterations = 512, Error = 0.493822
Sample 190: No. iterations = 512, Error = 0.00192018
Sample 191: No. iterations = 512, Error = 0.00271059
Sample 192: No. iterations = 512, Error = 0.00293253
Sample 193: No. iterations = 512, Error = 0.00221751
Sample 194: No. iterations = 512, Error = 0.00224769
Sample 195: No. iterations = 512, Error = 0.00367396
Sample 196: No. iterations = 512, Error = 0.00324232
